sample_uid	A3	A3t	A3ac	A3ae	A3ak	A3af	A3al	A3m	695980_A	33927_A	903851_A	903841_A	22415_A	A4	A3b	903839_A	363624_A	363581_A	364304_A	33881_A	73508_A	903838_A	363677_A	34357_A	529468_A	1150880_A	363573_A	904723_A	50857_A	363698_A	903844_A	363657_A	363585_A	363590_A	903852_A	697372_A	903840_A	364724_A	363172_A	903845_A	363701_A	363646_A	1150882_A	903842_A	364417_A	A3w	823222_A	903846_A	903853_A	363703_A	903854_A	1150883_A	364576_A	363583_A	22426_A	53434_A	1150881_A	364714_A	891954_B	1150877_B	29324_B	B19	B1	1150879_B	B5	1150878_B	C91g	G3b	892101_G
109445	0.8572872094908995	0.061501228777086116	0.004528386621923379	0.04731727398610297	0	0	0	0.005414104115467621	0	0	0.02395179700852035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109446	0.8564532754146036	0.05977930755213606	0.004477350954370594	0.04802223490217011	0	0	0	0.0058026100241123525	0	0.004932908759594324	0.02053231239301294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109454	0.8270787930875717	0.0830964731882501	0.0048620276865465484	0.04819669112004665	0	0	0	0.006175757389729581	0	0.011706927775560944	0.018496577549955494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00012277847693299365	0	0	4.9111390773197456e-05	4.2972466926547775e-05	0	0	0	3.069461923324841e-05	9.208385769974523e-05	4.9111390773197456e-05
109468	0.8326329477790706	0.05614947642187393	0.014920265553350215	0.048223940866470465	0	0	0	0.01457805762781466	0	0	0	0	0	0	0	0	0.00661145712134693	0.00951338032988844	0.004927794127711998	0.012442680172472794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109448	0.8397294632280436	0.05121536394740151	0.007703150747483571	0.04572918527930539	0	0	0	0.005929573083973608	0	0.02201751077051361	0	0	0	0	0	0	0	0	0	0	0.01676957387811286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006545031004519976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043611480606457675	0	0	0	0	0	0	0	0	0	0	0	0
109449	0.8233364704566845	0.07101391205494004	0.008190687402741412	0.03596820634195887	0	0	0	0.010743870961730202	0	0.005684094784610081	0.013036145251917217	0	0.005963640429754839	0	0	0	0.005069094365291613	0.004482048510487621	0	0.00573068572546754	0	0.00573068572546754	0	0	0	0	0	0	0.005050457988948629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109450	0.8142024135483217	0.0727512422675185	0.006687962681269648	0.036776189027482	0	0	0	0.010582091065814826	0	0.005714430585133354	0.01414663827198053	0	0.006251901429875266	0	0	0	0.005907108812493662	0	0.004751039448331812	0.005739782983470236	0	0.006089646080519217	0	0	0	0	0	0	0.005623161951120576	0	0	0	0.004776391846668695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109447	0.7993750554028898	0.05135847885825725	0.007933693821469728	0.0478090003841267	0	0	0	0.005640014183139793	0	0.0219801731524983	0	0	0	0	0	0	0	0	0.008849688266406643	0	0.015896935850840645	0	0.007841355671778507	0	0	0	0	0	0	0.008687173122950092	0	0	0.006411961114558402	0	0	0	0	0.006751765505422096	0	0	0.0056326271311644945	0.005832077534497533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
109467	0.7930881226874287	0.052192491606470645	0.009761661249471221	0.03093959336228454	0	0	0	0.006709468757864751	0	0	0.032133696740579705	0	0	0	0	0	0.006007999957162211	0	0	0	0	0	0	0	0	0.024835208379071598	0	0	0	0	0	0.017520655846555037	0	0.016829896493191467	0	0	0	0	0	0	0	0	0	0	0.009852691551852467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.354723669485036e-05	0	0	4.283778935588029e-05	3.212834201691022e-05	0	0	0	0
109462	0.8246282818360422	0.03861738703339882	0.005787863904268619	0.03976156456510091	0	0.05850375066976246	0	0.011363636363636364	0	0.0056427487051259155	0	0	0.011436193963207716	0	0	0	0	0	0	0	0	0	0.004258572959457046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
